NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
76,194575,2,3,AMY,Vinx::AMY::1030_AMY Bukit Mertajam,Monitoring,03/13/2020 23:12:00,03/13/2020 23:23:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link YZ LTE up by self restored,Wany,,,,,,,,,,
78,194597,2,3,Daiso,Vinx::Daiso::5149_Daiso Nilai,Monitoring,03/14/2020 1:20:00,03/14/2020 10:51:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Link is monitored up after telco outage resolved and rebooted TM modem,Shalini,,,,,,,,,,
79,194599,2,3,AMY,Vinx::AMY::1040_AMY Nilai,Monitoring,03/14/2020 1:23:00,03/14/2020 11:09:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Link is monitored up after telco outage resolved and rebooted TM modem,Shalini,,,,,,,,,,
80,194600,2,3,Daiso,Vinx::Daiso::5138_Daiso Bandar Dato' Onn (Kempas),Monitoring,03/14/2020 1:30:00,03/14/2020 2:09:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is monitored up once Telco done reset cellular network,Shalini,,,,,,,,,,
82,194608,2,3,AMY,Vinx::AMY::1011_AMY Metro Prima,Monitoring,03/14/2020 2:59:00,03/14/2020 14:43:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM reset port and rebooted TM modem,Shalini,,,,,,,,,,
83,194635,2,3,AMY,Vinx::AMY::1001_AMY Maluri Store,Monitoring,03/14/2020 7:19:00,03/14/2020 9:32:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is monitored up after bounce the backup tunnel.,Shalini,,,,,,,,,,
84,194667,2,3,AMY,Vinx::AMY::1003_AMY Wangsa Maju,Monitoring,03/14/2020 12:05:00,03/14/2020 13:01:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Link is up once TM rectified the issue (Upgrade Equipment),Shalini,,,,,,,,,,
86,194671,2,2,Wellness,Vinx::Wellness::5035_Wellness AMY Wangsa Maju,Monitoring,03/14/2020 12:16:00,03/14/2020 12:25:00,03/14/2020 12:16:00,03/14/2020 12:25:00,0 days 0 hrs 9 mins ,,Others::Customer - Power Outage,Link is monitored up after power restored,Shalini,,,,,,,,,,
87,194675,2,3,Wellness,Vinx::Wellness::5035_Wellness AMY Wangsa Maju,Monitoring,03/14/2020 12:27:00,03/14/2020 13:04:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Link is up once TM rectified the issue (Upgrade Equipment),Shalini,,,,,,,,,,
88,194687,2,3,AMY,Vinx::AMY::1018_AMY Bukit Tinggi,Monitoring,03/14/2020 13:09:00,03/14/2020 15:03:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is monitored up after reset the cellular network ,Shalini,,,,,,,,,,
89,194814,2,2,Wellness,Vinx::Wellness::5094_Wellness Palm Mall,Monitoring,03/15/2020 9:56:00,03/15/2020 10:39:00,03/15/2020 9:56:00,03/15/2020 10:39:00,0 days 0 hrs 43 mins ,,WAN::WAN Primary - Modem Hang,Site was total down. Primary link restored once rebooted TM modem. Backup signal was flapping at the same time and up after rebooted Cisco router. Customer accidentally power off the router when reboot TM modem,Shalini,,,,,,,,,,
90,194816,2,3,Wellness,Vinx::Wellness::5094_Wellness Palm Mall,Monitoring,03/15/2020 10:12:00,03/15/2020 10:14:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM reset port and TM modem rebooted onsite ,Shalini,,,,,,,,,,
91,194833,2,3,ABG,Vinx::Aeon BIG::0033_ABG Bukit Minyak,Monitoring,03/15/2020 13:19:00,03/16/2020 16:20:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Malfunction,Link monitored up after TM change new TM modem and configure the new modem,Shalini,,,,,,,,,,
92,194892,2,3,Wellness,Vinx::Wellness::5023_Wellness Seksyen 23,Monitoring,03/15/2020 20:59:00,03/16/2020 10:04:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM reset port and rebooted TM modem,Shalini,,,,,,,,,,
93,194931,3,3,ABG,Vinx::Aeon BIG::0040_ABG Jaya One,Monitoring,03/16/2020 9:35:00,03/16/2020 11:17:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once telco refresh cellular connection,Shalini,,,,,,,,,,
94,195035,3,3,MaxValue,Vinx::MaxValue::3020_MaxValue New Desa Park,Monitoring,03/16/2020 19:20:00,03/16/2020 12:43:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Link is up once TMFE change jumper in MDF room.,Shalini,,,,,,,,,,
96,195449,3,2,Wellness,Vinx::Wellness::5053_Wellness Alamanda,Monitoring,03/17/2020 0:15:00,03/17/2020 4:52:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Shalini,,,,,,,,,,
97,195452,3,2,ABG,Vinx::Aeon BIG::0018_ABG Putrajaya,Monitoring,03/17/2020 0:24:00,03/17/2020 1:16:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,Site was total down. Primary link restored once Telco outage resolved (power in SDF Room resumed). Backup signal was flapping at the same time and up via self restored.,Shalini,,,,,,,,,,
98,195483,3,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,03/17/2020 3:07:00,03/17/2020 3:27:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link restored after telco refresh session,Shalini,,,,,,,,,,
99,195490,3,3,AMY,Vinx::Aeon Rockey::5701_Aeon Rockey AMY Shah Alam,Monitoring,03/17/2020 4:18:00,03/17/2020 9:45:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link up once rebooted TM modem,Shalini,,,,,,,,,,
101,195637,3,3,Wellness,Vinx::Wellness::5079_Wellness Nilai,Client,03/17/2020 14:46:00,03/18/2020 13:21:00,,,0 days 0 hrs 0 mins ,18/3 -John,Others::Customer - Switch,"Issue: Customer - Switch ( port faulty)
Remark: FE attended site to change into a new switch followed by pic verification on applications ",Shalini,,,,,,,,,,
102,195666,3,3,Wellness,Vinx::Wellness::5037_Wellness Taiping Mall,Monitoring,03/17/2020 18:19:00,03/17/2020 19:17:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link up once TM done reset port and refresh session,Shalini,,,,,,,,,,
