NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
103,201726,4,3,Wellness,Vinx::Wellness::5040_Wellness AMY Intermark,Client,04/20/2020 9:41:00,04/20/2020 11:51:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - No WAN Issue,"Issue: Client escalated credit card terminal having an issue previously.
Update: Upon checking with Telco, there is no ntwork congest/line TM working fine. Followup with end user onsite, all aplication working fine and no issue with credit card terminal. Hence we proceed closed this ticket.",Farhan
104,201792,4,3,Wellness,Vinx::Wellness::5079_Wellness Nilai,Monitoring,04/20/2020 16:49:00,04/20/2020 19:32:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link up and stable once Telco refresh session & reset port,Farhan
106,202006,4,2,Wellness,Vinx::Wellness::5068_Wellness Mahkota Parade,Monitoring,04/21/2020 11:05:00,04/21/2020 11:15:00,04/21/2020 11:05:00,04/21/2020 11:15:00,0 days 0 hrs 10 mins ,,Others::Customer - Power Outage,Link up once power resume,Farhan
107,202318,4,3,Daiso,Vinx::Daiso::5110_Daiso Cheras Selatan,Monitoring,04/22/2020 14:07:00,04/22/2020 14:45:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is monitored up and stable after TM reset port followed by TM modem rebooted .,Shalini
108,202448,4,2,AMY,Vinx::AMY::1001_AMY Maluri Store,Monitoring,04/22/2020 23:42:00,4/23/2020 08:11 :00,4/23/2020 8:00:00,4/23/2020 8:11:00,0 days 0 hrs 11 mins ,,Others::Customer - Power Outage,Link up once power resume,Shalini
109,202366,4,2,AMY,Vinx::AMY::1001_AMY Maluri Store,Monitoring,04/22/2020 17:03:00,04/22/2020 17:29:00,04/22/2020 17:03:00,04/22/2020 17:29:00,0 days 0 hrs 26 mins ,,Others::Customer - Power Outage,Link up once power resumed,Shalini
110,202377,4,2,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,04/22/2020 17:47:00,04/23/2020 7:30:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,"Link up once power resumed
Remarks: Premise was closed on 22/4/2020.",Shalini
111,202301,4,3,Wellness,Vinx::Wellness::5037_Wellness Taiping Mall,Monitoring,4/22/2020 12:48 :00,4/22/2020 13:13:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Tier Team done refresh backup connection,Shalini
115,202490,4,3,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,04/23/2020 7:33:00,,,,0 days 0 hrs 0 mins ,,<Open Ticket>,"Issue: Primary Link TM down after power resumed. 
Update: TMFE attended site confirmed that their TM modem was faulty due to lightning strike, they already replaced new TM modem. From Cisco router side, port GE WAN0 was faulty as well. Currently site running on backup YES LTE. We already request VINX Operation Team to check on building grounding/earthing (nowdays heavy rain/lightning strike). So far we still hold router replacement till VINX Operation team advise for next step action.",Shalini
118,202538,4,2,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,04/23/2020 16:37:00,04/23/2020 17:00:00,04/23/2020 16:37:00,04/23/2020 17:00:00,0 days 0 hrs 23 mins ,,Others::Customer - Power Outage,Link up once power resumed,Shalini
